Sl. No,City,Area,Corporate Park,Location, Total Employee Strength , Real Estate Allowed ,Type of Screen,Dimensions (W*H),Display Size (Inches),Units,Network,Key Corporate Tenants
,Bangalore,ORR,Bagmane Capital,Food Court 3,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane Capital,Food Court 4,,,Digital Pods,3*7,55,1,,
32,Bangalore,Brookefield,Bagmane Solarium,Argon South Block – Reception Lobby,"  15,000 ", N ,Digital Pods,3*7,55,1,9,"Schneider Electric, Zebra Technologies, Northern Trust, Burns & McDonnell , Resourcespro, Shell India, Carelon Global Solutions, Wesco Digital, Tekion, "
,Bangalore,Brookefield,Bagmane Solarium,Argon South Block – Elevator lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,Brookefield,Bagmane Solarium,Argon North Bock – Reception Lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,Brookefield,Bagmane Solarium,Argon North Bock – Elevator lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,Brookefield,Bagmane Solarium,Neon Block – Elevator Lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,Brookefield,Bagmane Solarium,Xenon North Block - Reception Lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,Brookefield,Bagmane Solarium,Helium Block - Reception Lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,Brookefield,Bagmane Solarium,Food Court 1,,,Digital Pods,3*7,55,1,,
,Bangalore,Brookefield,Bagmane Solarium,Food Court 2,,,Digital Pods,3*7,55,1,,
,,,,,,,,,,,153, 
1,Mumbai,BKC,Parinee Crescenzo Business Park,Office Lobby - Ground Floor,"  12,000 ", Y ,Large Digital Wall Panel,117*18,-,1,1,"Standard Chartered, SBI Funds Management Limited, BOB Capital Markets Ltd., FTI Consulting, Servier India Private Limited, KredX, AlphaGrep, and Orreya Partners India LLP"
,Mumbai,BKC,Parinee Crescenzo Business Park,Driveway Entry Lobby - A,,,Digital Pods,3*7,55,1,4,
,Mumbai,BKC,Parinee Crescenzo Business Park,Driveway Entry Lobby - A,,,Digital Pods,3*7,55,1,,
,Mumbai,BKC,Parinee Crescenzo Business Park,Driveway Entry Lobby - B,,,Digital Pods,3*7,55,1,,
